,comarcacodi,comarcadescripcio,municipicodi,municipidescripcio,sexecodi,sexedescripcio,resultatcoviddescripcio,numcasos,date
1048,11,Baix Llobregat,08204,Sant Climent de Llobregat,1,Dona,Sospitós,5,11-06
1049,24,Osona,08067,Centelles,0,Home,Sospitós,10,11-06
1050,04,Alt Urgell,25203,La Seu d'Urgell,0,Home,Sospitós,6,11-06
1051,24,Osona,08083,Folgueroles,0,Home,Sospitós,8,11-06
1052,38,Urgell,25003,Agramunt,0,Home,Positiu PCR,1,11-06
1053,14,Berguedà ,08022,Berga,0,Home,Positiu PCR,4,11-06
1054,16,Conca de Barberà ,43139,Santa Coloma de Queralt,0,Home,Sospitós,2,11-06
1055,08,Baix Camp,43123,Reus,1,Dona,Positiu PCR,39,11-06
1056,02,Alt Empordà ,17026,Borrassà,0,Home,Sospitós,1,11-06
1057,34,Selva,17213,Vidreres,0,Home,Sospitós,3,11-06
1058,02,Alt Empordà ,17062,L'Escala,0,Home,Sospitós,3,11-06
1059,22,Montsià ,43004,Alcanar,1,Dona,Sospitós,5,11-06
1060,21,Maresme,08110,Malgrat de Mar,0,Home,Sospitós,11,11-06
1061,41,Vallès Oriental,08198,Sant Antoni de Vilamajor,1,Dona,Positiu PCR,1,11-06
1062,06,Anoia,08302,Vilanova del Camí,1,Dona,Sospitós,16,11-06
1063,14,Berguedà ,08175,Puig-Reig,0,Home,Sospitós,2,11-06
1064,08,Baix Camp,43145,La Selva del Camp,1,Dona,Sospitós,20,11-06
1065,40,Vallès Occidental,08156,Palau-Solità i Plegamans,0,Home,Sospitós,24,11-06
1066,41,Vallès Oriental,08248,Santa Eulàlia de Ronçana,1,Dona,Positiu PCR,9,11-06
1067,10,Baix Empordà ,17022,La Bisbal d'Empordà,1,Dona,Positiu PCR,1,11-06
1068,34,Selva,17213,Vidreres,1,Dona,Positiu PCR,1,11-06
1069,11,Baix Llobregat,08221,Sant Just Desvern,1,Dona,Positiu PCR,1,11-06
1070,06,Anoia,08025,El Bruc,0,Home,Sospitós,1,11-06
1071,40,Vallès Occidental,08260,Santa Perpétua de Mogoda,0,Home,Sospitós,88,11-06
1072,28,Pla de l'Estany,17015,Banyoles,0,Home,Sospitós,30,11-06
1073,06,Anoia,08161,Piera,0,Home,Sospitós,16,11-06
1074,41,Vallès Oriental,08086,Les Franqueses del Vallès,0,Home,Positiu PCR,6,11-06
1075,11,Baix Llobregat,08169,El Prat de Llobregat,0,Home,Positiu PCR,7,11-06
1076,08,Baix Camp,43038,Cambrils,0,Home,Positiu PCR,3,11-06
1077,41,Vallès Oriental,08023,Bigues i Riells,1,Dona,Positiu PCR,3,11-06
1078,34,Selva,17023,Blanes,1,Dona,Sospitós,45,11-06
1079,23,Noguera,25240,Vallfogona de Balaguer,1,Dona,Sospitós,3,11-06
1080,08,Baix Camp,43129,Riudoms,0,Home,Sospitós,9,11-06
1081,13,Barcelonès,08019,Barcelona,0,Home,Positiu per ELISA,7,11-06
1082,31,Ripollès,17147,Ripoll,1,Dona,Positiu PCR,4,11-06
1083,03,Alt Penedès,08240,Sant Sadurní d'Anoia,1,Dona,Sospitós,13,11-06
1084,11,Baix Llobregat,08217,Sant Joan Despí,1,Dona,Positiu PCR,1,11-06
1085,34,Selva,17027,Breda,0,Home,Sospitós,7,11-06
1086,41,Vallès Oriental,08248,Santa Eulàlia de Ronçana,1,Dona,Sospitós,5,11-06
1087,41,Vallès Oriental,08106,Llinars del Vallès,1,Dona,Sospitós,12,11-06
1088,02,Alt Empordà ,17111,Navata,0,Home,Sospitós,1,11-06
1089,40,Vallès Occidental,08238,Sant Quirze del Vallès,0,Home,Positiu PCR,3,11-06
1090,33,Segrià ,25133,Maials,0,Home,Sospitós,1,11-06
1091,41,Vallès Oriental,08136,Montornès del Vallès,1,Dona,Positiu PCR,5,11-06
1092,21,Maresme,08003,Alella,0,Home,Positiu PCR,6,11-06
1093,29,Priorat,43023,Bellmunt del Priorat,1,Dona,Sospitós,1,11-06
1094,21,Maresme,08009,Argentona,1,Dona,Positiu PCR,3,11-06
1095,20,Gironès,17002,Aiguaviva,0,Home,Sospitós,1,11-06
1096,20,Gironès,17142,Quart,1,Dona,Sospitós,4,11-06
1097,35,Solsonès,25207,Solsona,1,Dona,Sospitós,2,11-06
1098,11,Baix Llobregat,08072,Corbera de Llobregat,0,Home,Sospitós,11,11-06
1099,11,Baix Llobregat,08114,Martorell,1,Dona,Sospitós,23,11-06
1100,21,Maresme,08032,Caldes d'Estrac,1,Dona,Sospitós,2,11-06
1101,24,Osona,08254,L'Esquirol,0,Home,Sospitós,1,11-06
1102,24,Osona,08150,Orís,0,Home,Sospitós,2,11-06
1103,36,Tarragonès,43905,Salou,1,Dona,Sospitós,12,11-06
1104,36,Tarragonès,43012,Altafulla,1,Dona,Sospitós,6,11-06
1105,07,Bages,08191,Sallent,0,Home,Sospitós,1,11-06
